"id","name","identifier","type","address","maps","date_joined","date_created","date_updated","razon_social"
"42","DOLORES","T347","FORANEA","TAMAULIPAS ,1BIS , ,CENTRO ,37800 ,DOLORES HIDALGO ,GUANAJUATO","https://goo.gl/maps/AQ42YWWwpa5o1oGNA","2023-09-13","2024-10-03 23:26:07.367756+00","2023-09-13 08:31:22.617982+00","ASTURIANO"
"43","RIO MAYO","T341","FORANEA","BLVD. RIO MAYO ,7359 ,1 ,TORREMOLINOS, VILLAS DE STA. JULIA OTE. ,37530 ,LEÓN ,GUANAJUATO","https://maps.app.goo.gl/2FjffbwLte76mJaR7","2023-09-13","2024-10-03 23:26:09.206851+00","2023-09-13 08:31:22.692028+00","ASTURIANO"
"44","ATIZAPAN","T340","FORANEA","CALZADA SAN MATEO ,47 , ,SAN JUAN BOSCO 1 ,52946 ,ATIZAPAN ,EDO. MÉXICO","https://goo.gl/maps/Mfby1uKUDufrpf1Y7","2023-09-13","2024-10-03 23:26:29.894839+00","2023-09-13 08:31:22.767719+00","ASTURIANO"
"45","SONORA","T335","FORANEA","COAHUILA  ,57 , ,PROGRESO ,39350 ,ACAPULCO DE J. ,GUERRERO","https://goo.gl/maps/eThkCMBtUxm9BP318","2023-09-13","2024-10-03 23:26:08.221827+00","2023-09-13 08:31:22.840785+00","ASTURIANO"
"46","CHILPANCINGO","T332","FORANEA","LÁZARO CÁRDENAS , , ,CHILPANCINGO DE LOS BRAVO ,39017 ,CHILPANCINGO ,GUERRERO","https://goo.gl/maps/6rKQTXb4UYnFQW6x7","2023-09-13","2024-10-03 23:26:09.271689+00","2023-09-13 08:31:22.917196+00","ASTURIANO"
"47","PIRULES","T330","FORANEA","AV. MÉXICO JAPÓN  ,420 ,1 ,FRACC. LOS PIRULES ,38036 ,CELAYA ,GUANAJUATO","https://goo.gl/maps/UNkmuisJu2rvWqpw8","2023-09-13","2024-10-03 23:26:08.87878+00","2023-09-13 08:31:22.998856+00","ASTURIANO"
"48","2 DE ABRIL","T329","FORANEA","AV. 2 DE ABRIL ,701 ,1 ,FRACC. VILLAS DEL ROMERAL ,38090 ,CELAYA ,GUANAJUATO","https://goo.gl/maps/JQUASSsZSU9dtEZY6","2023-09-13","2024-10-03 23:26:08.682203+00","2023-09-13 08:31:23.076262+00","ASTURIANO"
"49","RENACIMIENTO","T328","FORANEA","CD RENACIMIENTO , , , ,39715 ,ACAPULCO DE J. ,GUERRERO","https://goo.gl/maps/aQo5eHNxzHMZsxWQ6","2023-09-13","2024-10-03 23:26:08.153817+00","2023-09-13 08:31:23.163663+00","ASTURIANO"
"50","SALAMANCA","T327","FORANEA","CARRETERA FEDERAL 45 CELAYA-SALAMANCA ,KM 75+100 , , , ,SALAMANCA ,GUANAJUATO","https://goo.gl/maps/gc9yeTyp6be8oBVR8","2023-09-13","2024-10-03 23:26:08.617214+00","2023-09-13 08:31:23.2528+00","ASTURIANO"
"51","MALECON","T325","FORANEA","AV. COSTERA MIGUEL ALEMÁN , , ,FRACC. MAGALLANES ,39670 ,ACAPULCO DE J. ,GUERRERO","https://goo.gl/maps/vgCQMan8B1YWMdDt9","2023-09-13","2024-10-03 23:26:08.944738+00","2023-09-13 08:31:23.339884+00","ASTURIANO"
"52","AZUCENA 1","T324","FORANEA","AZUCENA  ,19 , ,EL MILAGRO ,76654 ,EZEQUIEL MONTES ,QUERÉTARO","https://goo.gl/maps/v9c4T7DFgwkPFFMM8","2023-09-13","2024-10-03 23:26:07.825201+00","2023-09-13 08:31:23.419463+00","ASTURIANO"
"53","OVIEDO","T323","FORANEA","AV. CUAUHTÉMOC  , , ,CENTRO ,39300 ,ACAPULCO DE J. ,GUERRERO","https://goo.gl/maps/3DdxyMAav1wpuqKj9","2023-09-13","2024-10-03 23:26:08.486128+00","2023-09-13 08:31:23.488685+00","ASTURIANO"
"54","TOREO","T322","FORANEA","AV. INGENIEROS MILITARES , , ,PARQUE INDUSTRIAL ,53489 ,NAUCALPAN DE JUÁREZ ,EDO. DE MÉXICO","https://goo.gl/maps/xhD89KVmrttEGxVv5","2023-09-13","2024-10-03 23:26:08.355112+00","2023-09-13 08:31:23.556744+00","ASTURIANO"
"55","HUICHAPAN","T318","FORANEA","CARRETERA HUICHAPAN-TECOZAUTLA ,KM 2+300 , ,SANTA BÁRBARA ,42400 ,HUICHAPAN ,HIDALGO","https://goo.gl/maps/EjzbL1QMLELbbMwH8","2023-09-13","2024-10-03 23:26:26.624914+00","2023-09-13 08:31:23.63072+00","ASTURIANO"
"56","HACIENDA GRANDE","T316","FORANEA","ANTIGUO CAMINO AL SAUZ ,85 NORTE , ,HACIENDA GRANDE ,76799 ,TEQUISQUIAPAN ,QUERÉTARO","https://goo.gl/maps/zyubEXPKnvBL5S1U6","2023-09-13","2024-10-03 23:26:25.05723+00","2023-09-13 08:31:23.699611+00","ASTURIANO"
"57","LOMA LINDA","T315","FORANEA","CARRETERA NOCHE BUENA  ,2 , ,LOMA LINDA ,76820 ,SAN JUAN DEL RÍO ,QUERÉTARO","https://goo.gl/maps/m1EqmP4PrSecxJ758","2023-09-13","2024-10-03 23:26:08.812723+00","2023-09-13 08:31:23.775855+00","ASTURIANO"
"58","ACULCO","T313","FORANEA","PROLONGACIÓN HIDALGO ,8 , ,CENTRO ,50360 ,ACULCO ,EDO. DE MÉXICO","https://goo.gl/maps/GnjEcdRKHFApo1Uy7","2023-09-13","2024-10-03 23:26:07.69607+00","2023-09-13 08:31:23.850841+00","ASTURIANO"
"59","QUEMADO","T311","FORANEA","CARRETERA NACIONAL ACAPULCO-MÉXICO ,1A , ,LOS ORGANOS DE JUAN R. ESCUDERO ,39909 ,ACAPULCO DE J. ,GUERRERO","https://goo.gl/maps/TQXrdE3UiyVfcoRk6","2023-09-13","2024-10-03 23:26:07.760135+00","2023-09-13 08:31:23.928432+00","ASTURIANO"
"60","LAS CRUCES","T310","FORANEA","CARRETERA ACAPULCO- PINOTEPA ,82-A , ,LA SABANA ,39799 ,ACAPULCO DE J. ,GUERRERO","https://goo.gl/maps/rDAUzXq3yBfk6PuNA","2023-09-13","2024-10-03 23:26:09.338596+00","2023-09-13 08:31:24.002871+00","ASTURIANO"
"61","VOLCANES","T305","FORANEA","DE LA CRUZ , , , ,56880 ,OZUMBA ,EDO. DE MÉXICO","https://goo.gl/maps/q5xsHnmqqnGzwFzf7","2023-09-13","2024-10-03 23:26:07.956047+00","2023-09-13 08:31:24.076614+00","ASTURIANO"
"62","ACTOPAN 2","T301","FORANEA","CARRETERA MÉXICO-LAREDO NORTE ,KM 121.7 , , ,46620 ,ACTOPAN ,HIDALGO","https://goo.gl/maps/ZXGFCYg5vMuGkgow7","2023-09-13","2024-10-03 23:26:08.02043+00","2023-09-13 08:31:24.150027+00","ASTURIANO"
"63","LEJI","T300","FORANEA","CARRETERA ATOTONILCO VITO  ,S/N , ,BARRIO BOXI ,42980 ,ATOTONILCO DE TULA ,HIDALGO","https://goo.gl/maps/ecr3eH6PmH4FNZaA6","2023-09-13","2024-10-03 23:26:08.747857+00","2023-09-13 08:31:24.242163+00","ASTURIANO"
"64","METEPEC","T299","FORANEA","AV. ESTADO DE MEXICO  ,2071 , ,BOSQUES DE METEPEC ,52148 ,METEPEC ,EDO. DE MÉXICO","https://goo.gl/maps/EYAQ7fSH3VxqNFj7A","2023-09-13","2024-10-03 23:26:07.631004+00","2023-09-13 08:31:24.308906+00","ASTURIANO"
"65","PATRIOTISMO","T294","FORANEA","CTO. INTERIOR (AV. PATRIOTISMO) ,263 , ,SAN PEDRO DE LOS PINOS ,3800 ,BENITO JUÁREZ ,CIUDAD DE MÉXICO","https://goo.gl/maps/BPM2WqjTsbSU5uj59","2023-09-13","2024-10-03 23:26:07.890789+00","2023-09-13 08:31:24.376685+00","ASTURIANO"
"66","CRESPA","T293","FORANEA","PASEO VICENTE LOMBARDO TOLEDANO ,305 B , , ,50200 ,EDO. DE MÉXICO ,EDO. DE MÉXICO","https://goo.gl/maps/Da3QgmQrrM8Xpopo7","2023-09-13","2024-10-03 23:26:09.404627+00","2023-09-13 08:31:24.44518+00","ASTURIANO"
"67","ZUMPANGO","T290","FORANEA","PUEBLO NUEVO ,S/N , ,ZUMPANGO DE OCAMPO , ,ZUMPANGO DE OCAMPO ,EDO. DE MÉXICO","https://goo.gl/maps/5rTFVjQEuMbctwJB8","2023-09-13","2024-10-03 23:26:07.564231+00","2023-09-13 08:31:24.512258+00","ASTURIANO"
"68","ECATEPEC","T289","FORANEA","AVENIDA CENTRAL ESQUINA AV. CENTRAL ,S/N , ,SANTA CRUZ VENTO DE CARPIO ,50451 ,EDO. DE MÉXICO ,EDO. DE MÉXICO","https://goo.gl/maps/CevFqWWJjjFsSGoo9","2023-09-13","2024-10-03 23:26:09.470045+00","2023-09-13 08:31:24.580772+00","ASTURIANO"
"69","ALFREDO DEL MAZO","T280","FORANEA","ALFREDO DEL MAZO ,941 , ,COL. TOLUCA DE LERDO ,55767 ,EDO. DE MÉXICO ,EDO. DE MÉXICO","https://goo.gl/maps/eEE9v8gCVcZUvTg96","2023-09-13","2024-10-03 23:26:08.551433+00","2023-09-13 08:31:24.650163+00","ASTURIANO"
