"id","econ_number","model","brand","color","circulation_card_number","insurance_company","insurance_code","serial_number","license_plate","year","insurance","circulation_card","sua","unit_type","permiso_sct","conf_vehicular","performance","status","fumigation_certified","verificacion_fisico_mecanica","verificacion_de_emisiones","initial_milage","current_milage","photo_1","photo_2","photo_3","photo_4","photo_5","photo_6","fumigation_expiration","insurance_expiration","system","observations","current_state","date_joined","date_created","date_updated","supplier_id","is_rent"
"42","ECO-011-006","2015","Ford","Sin color",NULL,"ASEGURADORA EL POTOSI","AUIN-016420-88","","LC47425",2015,"","","","UNIDAD 1 TN","","VL","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:24.097655+00","2023-07-19 08:40:33.827892+00",NULL,False
"43","ALFA-01-001","2014","NISSAN NP300","Sin color",NULL,"GENERAL DE SEGUROS","721248087","","JX36407",2014,"","","","UNIDAD 1 TN","","VL","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"GDL","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:24.250691+00","2023-07-19 08:40:34.219897+00",NULL,False
"44","EQ-009-002E","RAM 4000","CHRYSLER","Sin color",NULL,"HDI","831920025",NULL,"SY6468D",2008,"","","","UNIDAD 3.5 TN",NULL,"C2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","RAMPA HIDRAULICA","Queretaro de Arteaga","2023-07-19","2024-01-17 21:38:12.517035+00","2023-07-19 08:40:34.610901+00","11",False
"45","ECO-04-018","2010","KENTWORTH","Sin color",NULL,"HDI","1851230095","","SY0152A",2010,"","","","TORTHON","","C3","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:24.556995+00","2023-07-19 08:40:35.001608+00",NULL,False
"46","ECO-011-003","2010","KENTWORTH","Sin color",NULL,"HDI","831250095","","70AS9Z",2010,"","","","TORTHON","","C3","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:24.70841+00","2023-07-19 08:40:35.392691+00",NULL,False
"47","ECO-011-007","2010","KENTHWORD","Sin color",NULL,"HDID","41022703","","90AU8T",2010,"","","","TRACTO","","T3S2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:24.860624+00","2023-07-19 08:40:35.783021+00",NULL,False
"48","ECO-011-008","2006","INTERNATIONAL","Sin color",NULL,"HDI","41022703","","56UF5T",2006,"","","","CAJA 53’","","CTR007","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:25.013293+00","2023-07-19 08:40:36.175036+00",NULL,False
"49","EQ-005-003H","2004","KENWORTH","Sin color",NULL,"HDI","861930025","3BKMKY9X24F306382","348EY6",2004,"","","","TORTHON","2242SAMA29072015021001000","C3","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:57.494365+00","2023-07-19 08:40:36.566061+00","7",False
"50","ECO-015-001","2001","KENWORTH","Sin color",NULL,"HDI","001",NULL,"54AE6L",2001,"","","","CAJA 53’",NULL,"T3S2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO",NULL,"Queretaro de Arteaga","2023-07-19","2023-07-26 18:23:16.170344+00","2023-07-19 08:40:36.953863+00",NULL,False
"51","ECO-015-002","2001","INTERNATIONAL","Sin color",NULL,"QUALITAS","1650044910","","74UH2Z",2001,"","","","CAJA 53’","","CTR007","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:25.472548+00","2023-07-19 08:40:37.345+00",NULL,False
"52","ECO-015-003","2009","VOLVO","Sin color",NULL,"QUALITAS","1650044910","4V4NC9TG99N496902","01AX1B",2009,"","","","RABON","","C2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:25.626566+00","2023-07-19 08:40:37.73603+00",NULL,False
"53","EQ-005-010H","2006","kentworth","Sin color",NULL,"qualitas","001",NULL,"75AG8D",2006,"","","","TORTHON","2242GOME29062011021001002","C3","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO",NULL,"Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:57.426792+00","2023-07-19 08:40:38.126376+00","7",False
"54","EQ-005-009T","2009","FREIGHTLINER","Sin color",NULL,"AXA","140236198000","1FUJGLCK39LAJ1869","25AK5J",2009,"","","","TRACTO","2242GOME29062011021001005","T3S2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:57.358719+00","2023-07-19 08:40:38.517568+00","7",False
"55","ECO-013-005","2001","INTERNATIONAL","Sin color",NULL,"QUALITAS","0","","39UD8X",2001,"","","","CAJA","","CTR007","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:26.092488+00","2023-07-19 08:40:38.914376+00",NULL,False
