"id","BienesTransp","Cantidad","ClaveUnidad","Descripcion","Moneda","PesoEnKg","MaterialPeligroso","Destino_id","Operation_id"
"11014","25172303",825,"X4C:Caja de  madera natu","VENTANAS PARA AUTOMOTORES","MXN","12300",False,"197","1625"
"11015","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"316","1629"
"11016","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"638","1630"
"11017","15121512",3,"H87:Pieza","CHEM-TREND ML-3114","MXN","3234",False,"77","1628"
"11018","15121512",1,"H87:Pieza","CHEM-TREND ML-8258","MXN","952",False,"77","1628"
"11019","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"402","1641"
"11020","45101700",2241,"X4G:Caja de cartón","ETIQUETAS","MXN","4000",False,"343","1476"
"11021","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"324","1642"
"11022","15121520",10,"H87:Pieza","CHEM-TREND PL-101","MXN","1910",False,"18","1643"
"11023","15121528",1,"H87:Pieza","CHEM-TREND HF-28","MXN","1062",False,"18","1643"
"11024","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"392","1644"
"11025","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"405","1645"
"11026","25172301",2580,"X4C:Caja de  madera natu","PARABRISAS PARA AUTOMOTORES","MXN","11700",False,"197","1646"
"11027","25172303",825,"X4C:Caja de  madera natu","VENTANAS PARA AUTOMOTORES","MXN","12300",False,"197","1646"
"11028","12352400",144,"X4G:Caja de cartón","MONO-COAT E-7A AEROSOL","MXN","144",True,"432","1649"
"11029","15121520",2,"H87:Pieza","CHEM-TREND SU-121","MXN","382",False,"432","1649"
"11030","15121517",8,"XBJ:Cubeta","CHEM-TREND DC-456","MXN","159",False,"25","1648"
"11031","15121805",1,"H87:Pieza","WOLFRAKOTE TOP PASTE","MXN","1",False,"25","1648"
"11032","13101723",1,"H87:Pieza","ULTRA PURGETM 1220","MXN","500",False,"25","1648"
"11033","12352400",1,"H87:Pieza","CHEM-TREND PU-11380","MXN","158",True,"25","1648"
"11034","40151505",1,"XUN:Unidad","DISPENSADOR PORTATIL 420","MXN","26",False,"16","1647"
"11035","15121512",2,"H87:Pieza","CHEM-TREND SL-6193A","MXN","416",False,"16","1647"
"11036","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"406","1660"
"11037","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"312","1661"
"11038","47131800",6,"X8A:Pallet de madera","ABARROTES","MXN","5000",False,"688","1664"
"11039","47131800",4,"X8A:Pallet de madera","ABARROTES","MXN","3000",False,"692","1663"
"11040","47131800",4,"X8A:Pallet de madera","ABARROTES","MXN","3000",False,"695","1665"
"11041","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"326","1669"
"11042","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"629","1668"
"11043","25172301",2580,"X4C:Caja de  madera natu","PARABRISAS PARA AUTOMOTORES","MXN","11700",False,"197","1693"
"11044","25172303",825,"10:Grupos","VENTANAS PARA AUTOMOTORES","MXN","12300",False,"197","1693"
"11045","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"637","1594"
"11046","47131800",4,"X8A:Pallet de madera","ABARROTES","MXN","3300",False,"655","1696"
"11079","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"433","1667"
"11080","47131800",14,"10:Grupos","ABARROTES","MXN","14000",False,"315","1666"
"11081","15121520",10,"H87:Pieza","CHEM-TREND PL-101","MXN","1910",False,"18","1735"
"11082","15121528",1,"H87:Pieza","CHEM-TREND HF-28","MXN","1062",False,"18","1735"
"11083","15121512",2,"H87:Pieza","CHEM-TREND SL-92060","MXN","416",False,"41","1736"
"11084","15121520",4,"H87:Pieza","CHEM-TREND SU-121","MXN","70",False,"41","1736"
"11085","27131502",2,"H87:Pieza","W3FZ-DUOGUN NOZZLE 0,5","MXN","2",False,"41","1736"
"11086","15121512",2,"X1G:Tambor de fibra","CHEMTREND SL-98016","MXN","200",False,"41","1736"
"11087","50202201",4,"X8A:Pallet de madera","CERVEZA","MXN","3300",True,"702","1738"
"11088","25172301",2580,"X4C:Caja de  madera natu","PARABRISAS PARA AUTOPARTES","MXN","11700",False,"197","1742"
"11089","25172303",825,"X4C:Caja de  madera natu","VENTANAS PARA AUTOPARTES","MXN","12300",False,"197","1742"
"11090","15121512",2,"H87:Pieza","CHEM-TREND PU-A14202W","MXN","1935",False,"29","1741"
"11091","50202201",6,"X8A:Pallet de madera","CERVEZA","MXN","5000",True,"692","1435"
"11092","15121512",1,"XBJ:Cubeta","CHEMTREND SL98801","MXN","20",False,"457","1740"
"11093","15121512",1,"XBJ:Cubeta","HEMTREND SL98801","MXN","20",False,"457","1740"
"11094","15121512",1,"X1G:Tambor de fibra","CHEMTREND SL3030A","MXN","241",False,"457","1740"
"11095","12352400",1,"H87:Pieza","CHEM-TREND PU-11165","MXN","158",True,"457","1740"
"11096","30103618",1,"XUN:Unidad","APRAY IQ EQUIPO","MXN","241",False,"457","1740"
"11097","40151505",1,"XUN:Unidad","DISPENSADOR PORTATIL 42","MXN","121",False,"457","1740"
"11098","12352400",1,"H87:Pieza","CHEM-TREND PU-19037","MXN","14",True,"66","1739"
"11099","13101723",5,"H87:Pieza","ULTRA PURGETM 1220","MXN","100",False,"66","1739"
"11100","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"406","1763"
"11101","25172301",2580,"X4C:Caja de  madera natu","PARABRISAS PARA AUTOMOTORES","MXN","11700",False,"197","1734"
"11102","25172303",825,"X4C:Caja de  madera natu","VENTAS PARA AUTOMOTORES","MXN","12300",False,"197","1734"
"11103","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"690","1766"
"11104","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"311","1765"
"11105","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"315","1764"
